,D1_rep1,D1_rep2,D2_rep1,D2_rep2,D3_rep1,D3_rep2,D4_rep1,D4_rep2,D5_rep1,D5_rep2,D6_rep1,D6_rep2,D7_rep1,D7_rep2,D8_rep1,D8_rep2,D9_rep1,D9_rep2,D10_rep1,D10_rep2,D11_rep1,D11_rep2,D12_rep1,D12_rep2
38,14.8812,15.5977,21.3501,21.2445,28.0273,29.8294,32.8349,27.6459,43.5614,33.9137,21.9684,18.8334,13.1247,15.8083,24.1351,23.1769,26.9705,20.7595,30.4662,27.4995,37.6682,31.616,30.1591,22.981
40,10.6827,10.7515,2.12988,1.88362,4.44062,4.18243,7.70822,6.72053,3.20985,2.31212,2.28674,4.13477,6.12923,7.37482,2.40596,3.1353,4.94286,8.40388,12.5296,10.7602,3.1656,2.47192,5.07471,2.88048
43,39.4258,41.3801,13.393,14.1641,10.451,11.1826,12.0375,16.5784,29.4047,25.3243,37.7641,39.5388,31.7327,43.1634,16.3949,15.2632,8.55214,12.1782,15.685,12.1384,28.0686,24.664,36.3678,25.1077
48,85.467,63.0724,75.4095,59.1634,77.3429,63.2871,77.7899,59.4908,90.9412,58.9866,74.5316,61.3877,58.202,54.4684,55.7371,44.9537,63.6418,45.8077,58.7998,48.7291,78.1617,63.6533,79.4601,57.6671
53,24.9424,26.9634,6.57134,7.52367,3.3297,4.12174,1.45036,1.68447,10.5513,13.4947,21.0954,22.5016,29.3051,25.7935,5.37338,5.18247,2.83011,3.2489,2.53887,2.8965,10.2276,13.3391,11.3235,12.3006
56,71.7204,82.987,44.0368,44.1157,55.8046,95.0936,56.5551,79.5395,75.1041,96.5122,58.2328,81.5522,58.1874,78.0269,53.2036,47.8221,52.7331,74.4554,55.5939,64.1131,69.9219,88.0055,70.2998,84.6104
57,8.20305,10.1606,8.8563,6.15272,6.40345,5.05076,3.8582,8.26484,1.19173,3.73933,3.4049,2.70041,6.24207,7.07152,10.7357,8.5949,6.63651,6.65671,6.09966,5.62112,2.54414,2.4167,3.06597,2.52158
61,4.21466,3.31981,1.07603,1.33688,2.60778,3.41056,2.56566,3.34203,8.83658,8.37409,18.9632,18.2049,2.68267,3.607,0.952065,0.561104,2.30956,4.08278,5.82354,7.80678,3.02744,8.19179,6.89893,5.81835
65,5.05624,5.22883,4.86019,6.96744,7.33643,5.68044,3.76996,3.02699,9.40788,11.3154,21.355,26.4447,8.83938,7.57786,11.9439,10.2748,4.75296,6.53911,4.00202,4.86382,2.97186,2.45228,12.7113,13.5815
66,34.395,31.0721,14.998,19.3644,14.0784,14.0896,12.0059,15.2175,25.4327,21.7439,27.0937,31.3938,29.7442,28.4259,10.9968,12.7214,10.6182,15.8693,12.5708,15.1271,26.3214,23.5693,29.1595,34.7615
72,13.0275,12.1018,13.8123,15.5403,9.41871,10.9531,12.5865,14.4432,14.7484,11.7143,3.9648,15.8209,13.7498,5.09031,9.45898,11.2249,9.55474,11.8683,12.489,9.25599,7.10549,12.6152,8.0648,15.6936
74,14.3642,12.5084,10.8873,12.1902,8.0979,11.9359,10.0235,10.2221,6.61151,6.12454,9.06409,9.64998,14.5952,16.0172,21,22.1895,13.7482,11.25,8.40335,11.3594,8.05916,7.59752,10.2971,8.15054
80,52.0545,58.1817,43.4127,41.1396,17.4475,12.9199,22.3853,17.2095,8.72688,9.38791,11.4745,14.9646,62.3025,48.5383,87.7675,72.5869,39.0664,38.0805,47.7457,50.1147,21.4628,18.171,15.5689,14.4641
84,9.64765,8.52108,14.797,12.6252,13.303,12.1068,10.4842,9.60878,4.89225,5.10125,5.20592,3.33944,10.2281,9.00298,14.3745,14.1531,12.784,10.1881,9.91025,9.85595,7.66843,6.82542,5.80694,5.11545
85,21.4294,21.3743,19.0062,21.6405,20.5182,27.231,21.9074,26.234,27.5477,26.0346,28.5508,26.9604,30.6795,26.2764,21.0248,15.3773,22.3868,24.3954,19.3192,21.3211,22.8213,22.0867,22.0511,26.5663
88,31.8754,30.5964,14.7567,20.4269,10.4289,12.2928,11.6155,11.0864,7.5764,10.3625,14.0246,16.608,32.5232,37.8625,24.2646,30.1771,13.6897,16.1944,22.6776,15.2128,12.378,9.97073,17.5013,19.0088
89,17.0003,16.0261,12.7673,12.1877,10.923,9.44855,14.9193,14.0155,18.5831,16.496,15.8747,13.1247,13.7517,14.9088,10.6036,9.83526,10.6497,9.51255,15.0063,12.6207,18.1866,15.0053,19.313,16.79
95,0.758111,1.69023,5.77197,6.28746,7.47025,8.00024,6.3203,8.80255,4.96515,4.3322,5.63039,5.89493,1.92723,1.44905,4.89488,3.23422,9.59717,13.2903,7.46223,9.68348,6.51169,6.95395,5.1012,7.28848
99,52.0091,51.7946,38.9567,46.6048,36.1268,51.0095,28.9453,34.175,71.043,86.6125,88.208,90.3503,46.9195,56.6782,29.7784,27.4944,40.7522,41.5202,19.2319,23.4924,44.6974,59.2786,61.2434,53.0047
106,1.07013,0.679156,11.3693,9.50191,43.1597,40.4756,12.6496,8.97831,6.32163,4.07412,4.53056,2.59191,0.36761,0.255421,8.18485,3.901,47.7634,47.8603,9.46812,6.63464,3.60523,1.57557,2.74735,2.13623
108,90.104,79.4113,52.5046,47.1959,26.5097,23.8606,29.8294,35.5645,10.1027,9.56481,10.781,11.7702,74.8936,79.6367,59.8806,71.0071,39.858,26.7466,57.4466,42.6564,20.1985,12.1284,30.4492,21.309
109,13.3714,14.5517,27.4441,24.1523,34.8875,43.2978,24.7888,30.4077,17.8791,20.4425,9.90176,13.1456,9.8985,10.5114,30.7894,24.6823,35.4031,31.928,21.3669,24.4813,16.2957,18.3028,7.79366,9.41547
114,21.9113,19.6139,13.7232,15.6022,15.2743,16.3955,15.8,17.2662,16.227,14.7623,18.6761,20.2531,20.7038,21.2876,14.5339,14.1441,15.5723,18.4332,19.931,19.4013,16.5599,16.9763,16.6792,15.8016
116,106.526,88.5687,95.8255,85.1195,95.7059,74.5553,93.2874,83.9693,76.481,71.2426,81.1413,72.1696,74.9713,78.7323,81.3489,68.0149,84.883,78.0962,73.468,68.432,87.1169,78.265,86.4889,73.608
118,0.476882,0.902,4.25717,3.68215,3.17362,2.43388,6.07014,4.96037,4.48848,6.00683,13.2108,14.8081,3.90787,1.3611,3.16604,5.12868,5.11102,4.39384,3.12331,3.67946,1.68588,5.64151,5.45019,6.07404
120,9.38073,7.09602,7.36122,9.24713,5.74539,6.16321,6.61218,6.78251,4.12915,5.94926,11.0609,12.41,10.8148,10.6993,11.6112,9.01549,5.11765,5.30813,6.16838,7.48498,3.718,4.09587,7.55804,9.99449
127,5.2323,4.71961,21.7883,17.6151,21.0801,18.0439,12.9895,10.983,9.00967,9.19625,4.46733,4.709,4.59491,4.10723,16.9573,12.1861,22.0276,13.3016,10.1798,12.5619,7.37091,9.31825,6.14424,5.06604
131,44.2142,50.3143,109.141,105.949,106.638,129.015,94.9197,108.156,59.3799,68.7487,43.2014,41.4304,37.3447,46.946,114.889,100.148,99.3569,94.6818,64.513,92.1162,71.7285,83.7695,39.1113,43.9191
138,3.55905,4.79093,4.33422,4.96824,6.63198,7.73609,10.2819,9.55269,4.18718,4.29134,2.79312,0.902468,1.55991,3.47884,3.8557,2.51453,5.40085,7.4716,10.1159,9.32811,6.10534,4.33267,1.56484,3.41702
139,29.545,28.1632,8.17247,12.3042,17.3114,16.3586,14.3793,14.181,21.2554,21.3501,16.097,18.0615,32.542,21.5118,14.6751,12.5632,14.3788,15.3043,17.7404,14.2386,17.4411,19.3866,15.522,11.774
140,3583.47,4011.26,2077.95,2070.47,766.619,748.124,865.658,994.313,1677.51,1672.01,2162.5,2265.44,3302.07,3874.13,1763.58,2007.07,651.165,660.123,609.122,719.481,1717.11,1842.32,2886.99,3020.06
141,14.0606,8.66566,7.92405,7.4915,6.76502,5.419,7.06391,5.75287,9.27139,9.09914,10.6255,6.57302,9.76757,9.37679,7.09961,4.49061,6.1505,3.3886,4.47021,3.57373,8.98699,7.69038,12.619,9.53266
145,72.98,80.2967,56.8133,56.8045,44.5401,61.3494,83.5217,77.3551,65.2271,62.6143,55.386,48.592,62.1577,60.9828,44.5908,50.4489,45.6493,56.5387,79.0044,68.9734,59.8156,60.5783,48.4484,52.2135
149,23.8637,26.189,13.9492,17.7626,14.5152,21.5341,15.2751,18.3111,26.5274,25.354,25.9568,27.128,24.5546,23.7457,15.9209,17.4065,15.8053,15.5946,14.173,14.8297,26.0518,22.8006,27.0108,25.0347
150,52.5816,51.7216,20.0833,16.6779,14.2482,11.2345,21.8511,21.9193,19.0578,16.2245,27.4738,27.1177,46.18,47.54,12.8557,13.9314,10.5577,14.0885,20.4111,21.3656,21.0247,18.2958,33.3109,35.9187
152,23.6914,23.9405,32.7672,25.5927,27.9421,25.4683,27.3296,27.391,22.537,22.2712,17.5455,16.6742,21.8091,21.9121,37.8608,28.0954,30.5295,25.3896,26.8938,25.8638,27.463,26.0508,15.801,18.1201
153,4.22195,3.68802,2.46291,3.47972,2.57672,4.30046,1.82567,1.59315,6.21492,9.9533,14.1829,22.9257,3.94261,4.05309,1.94375,2.16276,2.02309,2.72178,0.942109,1.05998,2.65589,4.07259,8.43114,8.8903
154,13.6612,15.9426,46.5017,43.7902,57.3505,55.2041,52.5328,56.9663,40.5319,40.0854,22.7401,17.3162,16.2086,15.2483,45.8158,34.7682,59.9317,51.2401,45.466,57.8539,44.0352,46.6094,28.6171,26.2878
156,1.91293,3.25971,9.0009,9.28389,15.5147,13.7957,7.65345,10.8058,9.59681,8.50297,6.35689,7.57957,1.52434,3.09548,9.80984,7.96347,14.5978,12.4184,6.33298,7.77406,7.08244,8.96665,4.28262,4.86197
157,69.111,66.5617,68.2801,69.1373,67.7502,69.0851,63.1665,59.6178,66.3742,70.5118,70.738,66.2664,75.8879,64.1685,71.3536,67.303,64.4745,69.8856,56.1433,51.5298,67.0631,68.6111,54.8926,60.7412
178,2.12208,1.44315,4.97043,2.00676,2.99841,2.69849,3.17079,2.1511,42.7122,19.2166,14.8227,9.24233,0.623589,0.629384,4.27672,2.04944,2.21628,0,2.27184,0.822481,13.4847,10.3138,8.0267,4.184
181,9.35015,7.903,21.8741,25.7585,17.4076,15.258,7.55978,6.8433,3.86696,4.39711,4.41108,5.00322,9.40189,9.25285,21.2984,18.6797,20.4218,16.5649,6.85081,6.98739,7.57796,5.85139,5.57195,6.05243
187,66.3424,85.831,118.241,143.357,101.26,138.969,93.0447,146.487,69.484,89.332,49.5892,65.9319,48.9102,73.6152,106.694,136.789,105.142,127.515,62.9444,120.185,73.6686,97.626,39.0163,55.3686
188,3.08046,3.89894,0.474825,0.940542,0.375749,0,0.276148,0.817816,6.90315,7.33323,15.8435,13.0382,5.19081,5.51303,0.597971,0,0.118315,0,0.101909,0,2.32858,3.82613,19.8558,17.6857
192,3.67375,4.09379,10.0071,9.67115,13.8916,18.7336,10.2635,10.4403,13.5959,12.9699,7.20329,6.91616,3.77597,4.27825,14.2557,11.4643,13.6734,14.5884,10.6525,10.7372,13.2414,15.842,7.58796,7.46275
200,10.9841,14.4195,10.8488,8.34798,45.1148,9.07081,14.0088,19.6285,12.0577,12.6323,18.1603,16.1871,16.1204,14.0492,13.1544,11.3851,13.8857,4.70294,23.3425,12.5463,8.27885,7.56295,10.0404,12.4986
203,11.1081,13.1352,7.24014,11.0268,7.65801,10.2074,10.9081,14.0976,7.4092,7.45765,10.3104,13.7128,12.7984,14.5575,10.9611,17.8158,9.32693,13.2805,11.5311,12.7054,8.43035,8.88453,11.8293,11.4973
206,13.4316,6.50271,10.679,8.00427,4.08161,7.4412,7.54631,4.38195,4.65195,3.97864,9.54053,8.62561,12.1383,8.87915,12.9875,10.0546,9.28713,9.65855,10.0719,8.50729,8.25148,4.36801,11.1485,8.3441
207,27.3389,27.8702,20.5492,19.9175,20.6906,17.2993,22.9416,23.1862,15.0597,16.191,17.5353,14.7113,25.921,26.8938,20.1429,20.7251,24.9699,23.3312,22.3289,19.8737,17.9216,18.3733,22.1072,19.4323
210,6.90255,6.98503,6.77048,8.47604,4.47168,3.35779,2.00164,3.03398,2.0178,1.7967,2.14334,3.56857,9.3422,5.72042,11.9178,11.833,5.2793,6.57256,5.91189,4.98873,3.19841,2.15686,3.23114,1.77311
219,32.3234,33.6392,1.82556,1.0511,0.404419,0.121801,0.827237,0.300499,3.00904,3.24744,4.68547,5.20522,33.6556,34.6223,2.1397,1.16164,0,0.247097,0.612629,0.745935,2.18889,3.24289,9.02015,11.1389
223,15.2482,13.7584,7.06154,5.28805,7.65922,5.9759,11.2526,12.2073,11.7062,9.80791,18.0547,17.2631,17.1942,16.2145,7.54664,7.599,14.0174,12.3281,15.543,11.3042,9.71196,8.29553,15.9412,15.2746
226,13.1416,12.3258,188.127,271.596,258.097,331.382,122.214,122.241,183.756,176.241,87.2475,99.3623,14.2971,15.8744,153.116,156.623,253.454,308.75,117.384,123.513,150.788,162.835,92.7847,78.3519
229,42.1803,38.8174,51.7718,43.8796,55.5711,51.5971,83.8946,77.1113,82.1608,69.9035,57.0593,58.4485,44.3824,35.7308,46.309,53.9184,63.2507,67.1724,79.4199,69.6947,87.4102,87.238,72.1194,67.2251
231,32.9905,25.7087,26.0798,24.4721,29.1604,20.0407,31.2507,24.0572,36.8463,27.3204,34.7089,25.2965,31.6971,24.1688,37.3669,29.9943,41.0696,26.9607,36.0352,28.2605,28.2487,30.0548,30.1106,24.5926
233,241.821,250.568,181.039,205.164,165.939,251.832,198.433,221.166,258.387,312.588,232.579,279.08,190.229,249.785,171.421,191.748,178.947,208.698,186.223,201.063,224.461,250.69,231.629,275.399
235,11.9509,9.49759,6.64804,5.78438,9.77373,7.5964,7.44663,8.15486,13.5334,17.2012,11.7399,12.9305,15.0151,13.1972,6.09538,4.80658,11.2048,8.92705,8.29558,8.4202,14.0844,14.9858,12.0661,13.5808
241,56.0833,68.7253,118.231,118.1,134.594,140.243,119.459,144.772,116.763,127.198,68.1429,66.2136,56.0869,65.1663,110.768,95.4865,126.643,119.032,94.1773,122.314,116.461,125.586,61.0058,76.4104
245,14.4567,12.0269,6.90746,8.70083,13.1923,7.10825,10.4021,12.3944,20.3493,15.4628,14.7598,17.4246,25.8337,17.9791,11.9348,8.69614,11.1808,11.7774,16.0708,11.2776,18.622,19.1186,18.4737,13.6907
247,5.06713,7.10172,29.0708,27.2361,6.37578,7.32694,3.599,4.27843,3.49862,4.20995,3.98347,5.86073,3.35422,4.22234,29.833,33.9685,7.35677,6.22492,3.72961,4.94879,4.14014,4.21824,2.73866,3.99257
249,12.3828,15.9791,7.1254,13.3611,15.5684,20.029,19.8791,16.681,26.6921,27.0566,23.5084,20.0634,12.6015,12.5847,8.20943,3.95349,14.3176,16.6783,15.2296,13.2875,29.4052,31.7727,17.4896,15.3382
254,33.7736,26.5281,18.5073,18.8123,31.7208,27.2744,30.1239,25.023,53.1633,41.3096,43.918,37.3822,41.5441,28.2729,27.2594,17.8632,30.1256,27.012,33.9592,22.0055,43.7438,34.4862,39.22,32.5352
255,0.989086,0.348014,1.81939,1.35557,1.43695,0.699294,0.388173,0.795842,6.71591,5.4079,7.29461,6.68052,1.04567,0.991346,0.0884393,0,0.560631,0.19772,0,0.0747668,4.05994,3.40283,3.7853,4.09574
259,15.0073,16.8819,10.3568,12.7162,7.65816,7.80786,6.60505,8.17258,10.3811,11.5104,10.8921,11.1215,13.4276,15.3913,8.39563,11.4819,6.28869,8.31422,7.23827,8.29924,8.72004,12.2569,10.2036,12.9996
262,29.3037,29.3305,207.301,167.772,166.74,202.496,71.591,85.4589,12.1871,10.7394,7.75266,27.3639,23.5657,30.7205,398.666,435.144,517.813,549.015,407.025,292.124,159.09,66.4118,58.866,51.2015
266,4.70445,5.29779,3.38033,3.81376,2.87806,2.44685,3.72181,2.39538,17.6571,19.9949,25.5622,26.3589,4.60765,5.41895,2.36588,3.88478,1.88369,2.14888,2.00877,3.69974,16.4281,18.9593,15.5384,17.4606
267,152.388,142.458,148.973,173.939,133.938,101.796,122.101,122.232,124.778,110.59,124.327,111.956,128.061,136.507,125.966,125.909,115.778,123.141,125.445,110.839,128.557,103.191,119.479,117.426
271,28.4291,22.6994,15.3452,16.6051,16.0861,15.8708,15.5525,13.5115,41.8753,35.121,22.5629,22.4595,37.6317,23.3653,33.2933,24.9948,29.261,17.6001,26.2843,21.9542,42.6204,33.2655,27.6883,22.3476
273,12.4331,15.7626,10.6108,14.3548,10.4088,11.6366,9.09924,11.364,26.2919,34.5941,34.4943,48.4925,15.9425,17.8214,10.5528,13.6525,7.71493,12.5198,9.16527,11.4431,20.5812,29.2006,25.6636,32.3366
276,1.22358,4.76186,4.6193,3.15595,5.72563,9.93443,0.934451,4.76726,2.03807,18.9436,8.68537,6.81487,0,0,1.10309,2.41645,1.09136,0,0.987781,0,4.23621,14.4737,3.94973,7.66581
284,8.58861,7.29792,13.8122,19.1409,4.67275,5.11693,0.229642,0.479052,0.0577558,0.414079,0.174108,0.214747,4.96426,4.89488,12.3913,11.4709,3.59971,2.80253,0.500951,0.914168,0.514454,1.05606,1.997,1.56061
286,967.304,807.643,943.235,844.193,854.78,1002.73,1104.87,936.736,1011.98,864.743,893.908,751.053,648.372,741.999,643.635,568.75,643.728,635.404,681.925,667.847,933.334,816.82,859.677,731.464
289,130.925,141.578,108.846,123.516,108.76,135.768,107.049,116.241,104.952,125.423,99.711,116.219,97.8804,113.839,90.2494,97.4875,96.7316,111.385,79.3796,89.9658,99.3617,108.135,93.3756,106.835
294,14.3471,17.1439,10.4594,10.967,7.73779,6.75489,8.59088,8.83371,15.9022,18.2206,19.1932,18.882,20.2316,17.4302,11.8916,14.5409,8.38391,9.2691,10.5422,10.0876,13.5978,13.9192,17.4454,16.5438
298,18.6556,24.47,12.126,25.1361,12.7402,15.0927,16.897,21.5957,11.0777,18.3073,12.4239,9.26,17.3041,19.027,20.0422,21.3046,14.8028,12.0435,15.9478,15.4176,7.9927,14.5633,8.66543,24.1007
301,12.8636,4.95471,4.12435,1.30826,1.93672,0.446006,4.62955,1.95144,3.83839,1.58495,3.6775,2.62889,10.9367,4.578,4.30285,1.19142,1.46698,2.07048,4.87454,1.22545,4.84346,1.52459,6.76254,2.4658
302,18.5529,15.4251,20.8715,13.7642,26.3271,17.2885,29.0855,24.4832,20.8085,15.1389,17.4191,12.1286,10.1081,10.81,11.1065,12.4835,17.4118,16.7224,24.4643,20.1448,23.3503,20.1717,18.9268,16.1404
304,9.25349,14.649,11.4107,15.9711,10.5003,10.5365,13.0529,13.1067,23.9835,28.6954,29.5616,33.4818,14.743,15.2548,9.21186,10.4255,10.7495,14.7702,8.85634,14.6653,16.2814,22.5146,23.2638,25.1617
307,8.15062,10.1846,12.0057,10.077,10.5405,7.30195,11.3652,6.55745,14.292,11.8793,47.099,53.5974,47.1311,43.4297,32.1075,40.2162,23.246,19.9685,17.6835,18.5353,8.34762,8.82273,23.4141,20.0928
308,8.35375,4.269,3.19041,4.68291,7.32589,7.29873,3.7598,5.0283,12.6715,8.55909,8.75829,14.2006,9.11015,12.7698,5.27543,5.17207,4.82747,5.85446,7.2861,12.6069,8.36443,5.90231,17.187,14.6476
313,11.2641,10.5301,14.0783,10.4034,10.4045,11.7864,12.3915,8.00041,10.4172,12.9604,11.3691,12.6537,18.9544,11.3209,15.4443,12.3336,10.4712,8.74495,9.17344,13.372,15.2077,11.1979,12.4168,8.16876
314,3.46072,3.38496,22.1098,17.7525,17.9485,14.4925,11.1677,13.5199,2.54205,3.47485,2.64169,2.44991,4.78345,3.39032,29.1422,24.3077,19.8699,17.0047,11.9563,17.3398,5.43943,5.96597,3.7938,2.79183
318,127.063,127.043,68.811,60.7553,17.9834,15.5924,38.427,35.6149,46.358,43.1155,72.8996,75.4465,118.807,133.842,72.0806,64.6995,23.3519,17.6069,29.7891,33.589,47.7116,47.9141,69.4857,75.3808
322,16.593,15.2565,18.2825,16.3036,24.2541,24.4802,23.8761,24.8645,23.67,19.1917,13.4754,15.5342,19.6779,13.307,21.3059,23.2019,31.879,23.551,29.0733,30.2718,28.509,22.5913,19.708,13.6452
323,28.2694,20.2027,25.7832,23.0839,21.9593,17.9621,25.2688,20.7281,22.068,20.7886,23.8987,25.2654,28.4019,24.4251,19.7071,22.522,21.2549,20.2961,24.8293,21.7262,23.3074,23.8012,24.0171,24.6903
330,39.0024,38.3942,28.5632,26.6829,39.7935,34.3243,35.4101,36.9834,47.4981,36.3807,45.5602,36.5472,34.909,39.9274,28.1049,26.4037,31.1109,31.111,35.1938,33.0887,37.517,36.6643,34.5122,34.3003
333,2.72251,5.50313,10.0838,10.9287,14.5844,16.4464,15.3916,17.4943,12.429,12.7167,6.53802,6.12777,2.00189,4.16871,7.40463,8.28633,14.412,13.5813,11.8638,17.468,13.5091,16.4323,7.5321,9.44248
334,21.6175,22.0068,18.0103,19.2739,14.9877,19.5069,21.1447,21.8129,17.7938,16.2708,13.4958,12.1732,17.6793,16.7553,19.4978,17.4456,15.1911,17.9828,19.2306,20.0944,18.7194,19.0674,12.8449,16.603
342,17.7904,17.5123,10.5644,10.9841,16.8761,18.0958,12.5201,14.9146,20.0677,18.2408,20.1411,25.2879,14.8657,19.1013,12.8063,11.1873,14.771,14.1662,9.76979,11.7426,11.6009,14.2421,14.2546,14.5128
344,18.7549,25.1572,44.0155,50.1836,34.969,56.6605,35.2203,36.7059,29.6922,28.527,27.8526,38.3879,29.8859,25.6922,49.1858,49.5035,42.6236,49.7283,35.0656,38.5965,30.7137,33.3478,35.8156,31.1654
346,22.929,25.0545,38.2288,32.8051,33.9877,47.06,34.8504,35.0225,39.94,32.031,28.4588,38.724,30.4556,21.5532,35.0099,44.5396,49.656,45.8221,63.7878,47.7843,37.9448,36.456,39.6268,42.7893
350,21.9973,23.9969,17.1058,29.1989,20.6599,24.8313,17.95,24.4728,22.885,32.563,25.4896,32.4863,23.0048,27.4053,19.6177,31.5252,18.768,26.5748,20.5585,27.9236,23.0334,30.2537,19.1517,27.5145
351,16.6594,14.3184,17.0504,15.4507,25.5208,27.1437,29.7286,24.8134,28.629,27.218,17.8857,15.6892,16.6513,13.3064,18.916,17.8695,30.7943,26.892,23.0872,27.1455,28.8391,25.8769,19.7714,15.042
352,36.5236,35.2218,9.09427,4.4068,18.499,25.5552,44.5254,40.9344,22.0171,27.7214,18.5644,14.7551,41.2864,32.7062,11.5661,8.12292,42.5625,48.4151,122.149,99.3412,43.0167,37.0994,23.359,21.9867
353,9.77835,10.55,3.49364,5.97175,7.58072,7.77813,11.0555,9.9038,13.2103,15.9289,13.6303,10.4744,11.5556,9.23211,5.12361,6.10655,9.15686,10.4325,11.342,9.58116,10.1035,10.8955,12.6845,11.0106
360,25.6662,32.9278,20.6124,26.8152,44.2844,39.8376,49.3961,48.0974,46.0925,47.9275,47.131,50.5358,25.2167,30.4337,19.3157,20.3322,45.3103,45.0638,53.3919,44.5542,43.7933,47.0978,42.8636,51.2701
361,4.22958,7.03343,3.17375,5.20038,1.71642,0.749684,1.99403,0.832016,0.183933,0.372066,1.16167,2.87824,11.3549,8.38242,4.85188,7.8651,1.04314,0.976434,1.43151,2.37486,0.163615,0.179204,0.688087,1.946
362,57.4233,46.2388,46.5898,39.2912,36.9071,34.5198,41.1639,32.2433,32.5433,28.4736,49.8938,49.136,84.8902,59.9822,51.7655,46.1046,36.8891,34.454,39.3994,32.9647,41.3451,31.9487,42.0731,39.2733
365,0.601524,0.242162,4.51883,3.36391,7.60093,6.12587,5.08614,4.67315,2.20531,0.99262,0.976837,0.354685,0.682796,0.581408,9.42069,5.20767,15.9921,8.11085,7.12743,7.62074,3.83492,2.86264,1.36411,0.818913
369,25.1326,29.2679,13.1737,14.0981,9.1001,10.9282,11.1313,9.48557,13.3062,13.9617,14.4131,15.3084,22.2223,25.5546,12.8357,12.9098,8.66718,8.0178,11.8087,10.5465,12.0262,12.4192,14.814,15.0449
371,18.594,17.3349,28.6947,47.7238,30.1738,39.0664,11.0376,14.5516,88.3172,82.9857,84.5067,70.0732,26.8347,26.1839,10.0955,3.77775,21.7481,22.4071,6.24727,6.80106,54.7831,64.4467,65.6889,54.5206
372,519.646,454.105,910.595,841.742,521.882,605.989,189.128,180.29,425.541,382.611,214.473,164.795,210.021,317.965,508.383,421.871,353.897,235.14,109.131,104.263,394.903,416.702,138.654,117.795
